Product URL,Image URL,SKUs
https://www.anipet.co.il/product/14039/%D7%9B%D7%9C%D7%95%D7%91-%D7%9C%D7%90%D7%95%D7%92%D7%A8%D7%99%D7%9D-%D7%93%D7%92%D7%9D-%D7%A7%D7%95%D7%9E%D7%91%D7%99-1,https://cdn.modulus.co.il/anipet/Ferplast_COMBI_1(1).jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""8010690060552"""
https://www.anipet.co.il/product/13740/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-KD-,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-kd-with-chicken-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""2371, 2372, 52742043746, 52742918600"""
https://www.anipet.co.il/product/13741/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-LD-,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-ld-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""52742869506, 88955"""
https://www.anipet.co.il/product/13743/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-MD,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-md-dry-productShot_zoom.jpg.rendition.1920.1920.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""2380, 52742048208"""
https://www.anipet.co.il/product/13745/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%94%D7%99%D7%9C%D7%A1-%D7%9E%D7%98%D7%91%D7%95%D7%9C%D7%99%D7%A7-,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-metabolic-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""2363, 2379, 52742009421"""
https://www.anipet.co.il/product/13746/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-RD,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-rd-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""2361, 52742048185"""
https://www.anipet.co.il/product/13747/%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%9B%D7%9C%D7%91%D7%99%D7%9D-%D7%91%D7%95%D7%92%D7%A8%D7%99%D7%9D-%D7%9E%D7%92%D7%96%D7%A2%D7%99%D7%9D-%D7%92%D7%93%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-%D7%A1%D7%99%D7%99%D7%A0%D7%A1-%D7%A4%D7%9C%D7%90%D7%9F-%D7%9C%D7%99%D7%99%D7%98-%D7%A2%D7%95%D7%A3-,https://cdn.modulus.co.il/anipet/לייט%20עוף%20גזע%20גדול.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""1863, 52742025902"""
https://www.anipet.co.il/product/14451/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%9B%D7%9C%D7%91-%D7%94%D7%99%D7%9C%D7%A1-ZD,https://cdn.modulus.co.il/anipet/pd-canine-prescription-diet-zd-ultra-allergen-free-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""39104, 52742040424, 52742867601"""
https://www.anipet.co.il/product/13749/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1--SD-,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-sd-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""39107, 52742918907"""
https://www.anipet.co.il/product/13751/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-TD-,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-td-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""39121, 52742868806"""
https://www.anipet.co.il/product/13752/%D7%9E%D7%96%D7%95%D7%9F-%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%99%D7%9C%D7%A1-WD,https://cdn.modulus.co.il/anipet/pd-feline-prescription-diet-wd-dry-productShot_zoom.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""2382, 52742042251"""
https://www.anipet.co.il/product/14052/%D7%A1%D7%90%D7%9E%D7%99%D7%98-%D7%9E%D7%96%D7%95%D7%9F-%D7%9C%D7%9B%D7%9C%D7%91-%D7%91%D7%95%D7%92%D7%A8-%D7%A2%D7%95%D7%A3-%D7%95%D7%94%D7%95%D7%93%D7%95,https://cdn.modulus.co.il/anipet/image_processing20230419-1-grs38d_1.jpg?width=260&height=184&mode=pad&format=png&v=5&output=webp,"""815260006651, 815260006668"""
